event_id,event_id,domain_userid,page_urlpath,next_event_id
918e8272-3435-48b4-baec-cb29e599e595,Fri Jan 01 01:34:22 MST 2016,b12fb3afde81679a,/checkout/extras,b9c17444-3197-460b-9e31-859bedf982b1
b9c17444-3197-460b-9e31-859bedf982b1,Fri Jan 01 01:34:23 MST 2016,b12fb3afde81679a,/checkout/extras,96a626fe-3671-4bc6-a8d3-1b0bff6a3f01
96a626fe-3671-4bc6-a8d3-1b0bff6a3f01,Fri Jan 01 01:34:28 MST 2016,b12fb3afde81679a,/your-box/funnel,null
77e384ac-9529-413b-8c1c-34791fe3618e,Fri Jan 01 05:32:18 MST 2016,49e0eadb37c3f99a,/our-products/style/match,200c240d-09a1-4fed-a318-68d52427260f
200c240d-09a1-4fed-a318-68d52427260f,Fri Jan 01 05:32:20 MST 2016,49e0eadb37c3f99a,/our-products/style/match/current-product,748bb686-615b-4377-9e49-e15e429a29ad
748bb686-615b-4377-9e49-e15e429a29ad,Fri Jan 01 05:32:45 MST 2016,49e0eadb37c3f99a,/our-products/style/match/desired-style,null
3c7685a8-571a-4654-8eed-1bf74fe021ab,Fri Jan 01 01:35:09 MST 2016,c29b004429c77e07,/blades,f06680c5-6fe0-42af-88f6-7c37fc7e8ff9
f06680c5-6fe0-42af-88f6-7c37fc7e8ff9,Fri Jan 01 01:35:23 MST 2016,c29b004429c77e07,/checkout/extras,786648ed-9ca3-40c6-b858-97e03b91acf1
786648ed-9ca3-40c6-b858-97e03b91acf1,Fri Jan 01 01:35:26 MST 2016,c29b004429c77e07,/your-box/funnel,88f8563a-e2f1-436c-ae7f-299c901f8edb
88f8563a-e2f1-436c-ae7f-299c901f8edb,Fri Jan 01 01:35:42 MST 2016,c29b004429c77e07,/checkout/extras,null
067c8ab0-5cad-439b-bb67-07b36ed03774,Fri Jan 01 01:32:27 MST 2016,bc759103900096b3,/blades,01cd3b98-7e87-4144-a4b8-cf19a5c41aee
01cd3b98-7e87-4144-a4b8-cf19a5c41aee,Fri Jan 01 01:32:53 MST 2016,bc759103900096b3,/checkout/extras,17c14ff0-25f0-4d2e-833b-baeff13cbca6
17c14ff0-25f0-4d2e-833b-baeff13cbca6,Fri Jan 01 01:32:59 MST 2016,bc759103900096b3,/checkout/finish-up,997a2cbd-1d10-44ba-a632-b3ec02686195
997a2cbd-1d10-44ba-a632-b3ec02686195,Fri Jan 01 01:33:11 MST 2016,bc759103900096b3,/checkout/finish-up/3B,null
1be028c8-81b2-4642-88a0-3c7e2d2e8b45,Fri Jan 01 13:31:28 MST 2016,c1a02a26812c20d8,/login,3d4386d9-0905-4807-9c9f-3ed9966291c0
3d4386d9-0905-4807-9c9f-3ed9966291c0,Fri Jan 01 13:31:39 MST 2016,c1a02a26812c20d8,/our-products,a956b45b-c7f7-423e-8623-519012b04904
a956b45b-c7f7-423e-8623-519012b04904,Fri Jan 01 13:31:50 MST 2016,c1a02a26812c20d8,/your-box/item/MNgCneCQnBTsAhpUSKW9lFF4HVq0-nvtRoKs8OI38JUvLejM9S2DRCVBKf101RLO/change-frequency,cfc95061-1461-4129-8750-a2f1fc0a7d2b
cfc95061-1461-4129-8750-a2f1fc0a7d2b,Fri Jan 01 13:31:55 MST 2016,c1a02a26812c20d8,/your-account,94096070-7da1-46a4-b974-79569d8498a2
94096070-7da1-46a4-b974-79569d8498a2,Fri Jan 01 13:32:09 MST 2016,c1a02a26812c20d8,/your-account,61036109-f837-4896-9f90-1d43a0f2d0e2
61036109-f837-4896-9f90-1d43a0f2d0e2,Fri Jan 01 13:32:10 MST 2016,c1a02a26812c20d8,/your-account,cd162248-0f6f-4f59-8f51-9ce65171c5b3
cd162248-0f6f-4f59-8f51-9ce65171c5b3,Fri Jan 01 13:32:24 MST 2016,c1a02a26812c20d8,/your-account,fab08f37-5432-477d-a966-a0de44df5843
fab08f37-5432-477d-a966-a0de44df5843,Fri Jan 01 13:32:39 MST 2016,c1a02a26812c20d8,/your-box/item/MNgCneCQnBTsAhpUSKW9lFF4HVq0-nvtRoKs8OI38JUvLejM9S2DRCVBKf101RLO/change-frequency,169da17c-46f0-4763-87e2-253c6d29b66b
169da17c-46f0-4763-87e2-253c6d29b66b,Fri Jan 01 13:32:42 MST 2016,c1a02a26812c20d8,/your-account,92cd7b73-9194-416f-af43-85f360b61086
92cd7b73-9194-416f-af43-85f360b61086,Fri Jan 01 13:32:55 MST 2016,c1a02a26812c20d8,/your-account,null
